Country,All,Female,Male,M/F,2000,Change%,Continent
Lithuania,48.5,6.2,36.1,5.8,45.8,-0.56,Europe
Kiribati,30.6,9.5,53.6,5.7,35.6,-0.14,Oceania
Federated States of Micronesia,29,13.2,44.3,3.4,28,0.04,Oceania
Suriname,25.9,11.8,41.3,3.5,25,0.04,South America
Zimbabwe,23.6,13.5,37.8,2.8,20,0.18,Africa
South Africa,23.5,9.8,37.9,3.9,26.6,-0.12,Africa
Mozambique,23.2,8.9,42.6,4.8,20.9,0.11,Africa
Central African Republic,23,9.3,39.6,4.3,32.5,-0.29,Africa
Russia,21.6,7.2,38.2,5.3,48.9,-0.56,AsiaEurope
South Korea,21.2,13.4,29.7,2.2,13.9,0.52,Asia
Vanuatu,21,9,33.1,3.7,23.2,-0.1,Oceania
Botswana,20.2,7.8,35.5,4.6,46.3,-0.56,Africa
Uruguay,18.8,7.7,31.1,4.1,14.5,0.3,South America
Kazakhstan,18.1,6.9,30.9,4.5,39.4,-0.54,Asia
Mongolia,18,5.6,31.1,5.5,23.6,-0.24,Asia
Ukraine,17.7,4.7,32.7,7,33.5,-0.47,Europe
Solomon Islands,17.4,2.4,32.2,13.4,17.4,0,Oceania
Eritrea,17.3,8.3,27.2,3.3,23.4,-0.26,Africa
Belarus,16.5,5.3,30.1,5.7,37.3,-0.56,Europe
Montenegro,16.2,7.9,25.4,3.2,18.9,-0.14,Europe
Latvia,16.1,4.6,29,6.4,29.6,-0.46,Europe
Cameroon,15.9,7.6,25.2,3.3,19.1,-0.17,Africa
Ivory Coast,15.7,5,25.7,5.1,24,-0.35,Africa
Cape Verde,15.2,5.1,27.4,5.4,18.2,-0.16,Africa
Togo,14.8,6.5,24,3.7,17.3,-0.14,Africa
Somalia,14.7,7.1,22.8,3.2,16.8,-0.13,Africa
Samoa,14.6,7.8,20.9,2.7,16.3,-0.1,Oceania
United States,14.5,6.8,22.4,3.3,10,0.45,North America
Zambia,14.4,5.3,25.7,4.9,24,-0.4,Africa
Burkina Faso,14.4,6.5,24.5,3.8,16.9,-0.15,Africa
Slovenia,14,5.5,22.7,4.1,25.6,-0.46,Europe
Belgium,13.9,8.4,19.6,2.3,18.3,-0.24,Europe
Namibia,13.5,4.4,24.9,5.7,27.5,-0.51,Africa
Equatorial Guinea,13.5,8.8,18.5,2.1,19.4,-0.3,Africa
Finland,13.4,6.8,20.1,3,21.7,-0.38,Europe
Chad,13.2,6.9,20.2,2.9,15.7,-0.16,Africa
Gabon,13.1,3.8,23.3,6.1,19.4,-0.32,Africa
India,12.9,11.1,14.7,1.3,19.1,-0.32,Asia
Sri Lanka,12.9,6.1,20.9,3.4,27.4,-0.53,Asia
Benin,12.7,6.1,20.3,3.3,14.7,-0.14,Africa
Angola,12.6,4.7,21.7,4.6,17.6,-0.28,Africa
Democratic Republic of the Congo,12.4,5,20.7,4.1,14.5,-0.14,Africa
Guinea-Bissau,12.4,6.7,19.8,3,17.5,-0.29,Africa
Sweden,12.4,7.7,16.9,2.2,12.2,0.01,Europe
Guinea,12.3,8,18.4,2.3,9.7,0.27,Africa
Japan,12.2,6.9,17.5,2.5,18.1,-0.32,Asia
Moldova,12.2,3.3,22.1,6.7,16.3,-0.25,Europe
Burundi,12.1,6.4,18.9,3,23.4,-0.48,Africa
Estonia,12,4.5,20.2,4.5,25,-0.52,Europe
Djibouti,11.9,7.6,16.3,2.2,12.1,-0.01,Africa
Hungary,11.8,5.5,19.1,3.5,26.6,-0.56,Europe
Republic of the Congo,11.6,6.1,18.3,3,24.7,-0.53,Africa
Sierra Leone,11.3,8.2,14.8,1.8,10.1,0.11,Africa
Australia,11.3,5.6,17,3,11.8,-0.05,Oceania
Haiti,11.2,8,14.9,1.9,12.7,-0.12,North America
Iceland,11.2,3.5,18.7,5.4,12.7,-0.12,Europe
Kenya,11,5.3,18.1,3.4,15.8,-0.3,Africa
Croatia,11,5.1,17.7,3.5,16.3,-0.32,Europe
Senegal,11,5.2,18.5,3.6,14.4,-0.24,Africa
Malawi,10.6,3.3,20,6.1,19.2,-0.45,Africa
Ghana,10.5,1.8,20,11.2,9.8,0.08,Africa
Uganda,10.4,3.7,19.4,5.2,21.7,-0.52,Africa
Austria,10.4,4.6,16.6,3.6,15.8,-0.34,Europe
Canada,10.3,5.4,15.3,2.9,10.7,-0.03,North America
New Zealand,10.3,5.4,15.4,2.9,12.4,-0.17,Oceania
Cuba,10.2,4.1,16.7,4.1,15.6,-0.35,North America
Niger,10.1,6.4,14.1,2.2,9.5,0.07,Africa
Norway,9.9,6.3,13.4,2.1,13,-0.24,Europe
Switzerland,9.8,5.7,14.2,2.5,15.9,-0.38,Europe
Nepal,9.8,2.9,18.6,6.3,10.9,-0.1,Asia
Pakistan,9.8,4.8,14.6,3.1,11.1,-0.12,Asia
France,9.7,4.5,15.2,3.3,15.8,-0.39,Europe
Singapore,9.7,6.4,12.7,2,11.4,-0.16,Asia
The Gambia,9.6,6.2,13.3,2.1,11.1,-0.13,Africa
Fiji,9.5,6,13.1,2.2,11.7,-0.19,Oceania
Czech Republic,9.5,3.8,15.4,4.1,13.4,-0.29,Europe
Ethiopia,9.5,5.2,14.2,2.7,18.4,-0.49,Africa
Rwanda,9.5,5,14.8,2.9,25.6,-0.63,Africa
Slovakia,9.3,2.6,16.7,6.5,12.6,-0.26,Europe
Poland,9.3,2.4,16.5,6.8,15.3,-0.39,Europe
Netherlands,9.3,6.1,12.5,2.1,8.1,0.15,Europe
Madagascar,9.2,5.4,13.3,2.5,10.8,-0.15,Africa
Republic of Ireland,8.9,3.6,14.3,4,12.1,-0.26,Europe
Mauritius,8.8,2.5,15,5.9,11.5,-0.24,Africa
Luxembourg,8.6,5.4,11.8,2.2,13.4,-0.36,Europe
Comoros,8.5,5.8,11.3,2,10.9,-0.22,Africa
Kyrgyzstan,8.3,3.5,13.5,3.8,17.6,-0.53,Asia
Trinidad and Tobago,8.3,3.7,13.1,3.6,16.2,-0.49,North America
Uzbekistan,8.3,4.9,11.8,2.4,12,-0.31,Asia
Germany,8.3,3.9,12.8,3.3,11.2,-0.26,Europe
Bosnia and Herzegovina,8.3,3.4,13.5,4,8.1,0.01,Europe
North Korea,8.2,6.3,10.6,1.7,10.3,-0.2,Asia
Tanzania,8.2,3.7,13.5,3.6,15.6,-0.48,Africa
Argentina,8.1,3.3,13.5,4.1,9.2,-0.12,South America
Chile,8,3,13.4,4.5,10.5,-0.24,South America
Mali,8,5.7,10.5,1.8,8.8,-0.09,Africa
Thailand,8,2.3,13.9,6,11.6,-0.31,Asia
Serbia,7.9,3.9,12.2,3.1,18.9,-0.58,Europe
Seychelles,7.7,1.3,14,10.5,9.8,-0.21,Africa
Ecuador,7.7,3.6,11.9,3.3,6.8,0.12,South America
Belize,7.7,1.8,13.6,7.5,10,-0.24,North America
Georgia,7.7,2.2,14,6.4,6.6,0.16,Asia
Denmark,7.6,4.2,11.1,2.6,12.5,-0.39,Europe
Costa Rica,7.6,1.9,13.3,6.9,6.9,0.11,North America
Liberia,7.4,5.5,9.4,1.7,8.8,-0.16,Africa
Romania,7.3,2.4,12.6,5.3,11.3,-0.35,Europe
Morocco,7.3,4.7,10.1,2.1,10.8,-0.33,Africa
Portugal,7.2,3.5,11.6,3.4,5.5,0.32,Europe
Vietnam,7.2,4.2,10.6,2.5,7.2,0.01,Asia
Bahrain,7.2,2.3,9.9,4.3,7,0.02,Asia
North Macedonia,7.2,3.5,11,3.1,8.7,-0.17,Europe
Yemen,7.1,5.3,9,1.7,8.5,-0.17,Asia
United Kingdom,6.9,3.4,10.4,3.1,7.7,-0.11,Europe
Nigeria,6.9,3.8,10.1,2.7,9.2,-0.25,Africa
Saint Lucia,6.9,1.5,12.5,8.5,8.1,-0.15,North America
Bolivia,6.8,4.2,9.6,2.3,8.4,-0.19,South America
South Sudan,6.7,3.4,10.4,3.1,7.9,-0.15,Africa
China,6.7,4.8,8.6,1.8,14.9,-0.55,Asia
Bulgaria,6.5,2.9,10.6,3.7,14,-0.54,Europe
Brazil,6.4,2.8,10.3,3.7,4.5,0.43,South America
Guatemala,6.2,2.5,10.3,4.1,13.5,-0.54,North America
Paraguay,6.2,3.3,9,2.8,3.6,0.69,South America
El Salvador,6.1,2.1,11.1,5.4,6.7,-0.09,North America
Turkmenistan,6.1,2.9,9.4,3.2,13.8,-0.56,Asia
Laos,6,3.5,8.6,2.5,8.7,-0.31,Asia
Afghanistan,6,5.7,6.2,1.1,7.7,-0.23,Asia
Malaysia,5.8,2.4,9,3.8,6.1,-0.05,Asia
Cambodia,5.5,3.1,8.4,2.8,6.8,-0.2,Asia
Mauritania,5.5,3.9,7.4,1.9,6.4,-0.14,Africa
Saudi Arabia,5.4,1.9,7.8,4.1,3.8,0.41,Asia
Malta,5.3,2.3,8.4,3.7,6,-0.11,Europe
Tajikistan,5.3,3.4,7.4,2.2,5.1,0.05,Asia
Mexico,5.3,2.2,8.7,4,3.9,0.37,North America
Spain,5.3,2.8,7.9,2.8,6.6,-0.2,Europe
United Arab Emirates,5.2,2.6,6.3,2.4,8,-0.35,Asia
Israel,5.2,2.1,8.3,3.9,6.8,-0.24,Asia
Iran,5.1,2.8,7.5,2.7,8,-0.36,Asia
Dominican Republic,5.1,1.9,8.5,4.6,4.9,0.04,North America
Bhutan,5.1,3.1,6.8,2.2,6.9,-0.27,Asia
Sudan,4.8,3.3,6.3,1.9,5.6,-0.14,Africa
Iraq,4.7,2.4,7.3,3,5.3,-0.1,Asia
Nicaragua,4.7,1.9,7.8,4.1,6.3,-0.26,North America
Qatar,4.7,1.7,5.7,3.4,7.6,-0.39,Asia
Timor-Leste,4.5,2.4,6.7,2.8,4.9,-0.07,Asia
Libya,4.5,2.9,6.1,2.1,5.3,-0.15,Africa
Oman,4.5,1.1,6.4,5.7,6.7,-0.33,Asia
Tonga,4.4,2.9,5.9,2,5.1,-0.15,Oceania
Italy,4.3,2.1,6.7,3.2,5.5,-0.22,Europe
Azerbaijan,4,1.5,6.6,4.5,3.4,0.16,Asia
Bangladesh,3.9,1.7,6,3.6,6.9,-0.44,Asia
Colombia,3.7,1.7,6,3.5,5.3,-0.29,South America
Albania,3.7,2.2,5.3,2.4,5.2,-0.29,Europe
Greece,3.6,1.5,5.9,4.1,2.9,0.27,Europe
Papua New Guinea,3.6,1.9,5.2,2.7,2.8,0.26,Oceania
Egypt,3.4,2.2,4.7,2.1,3.6,-0.06,Africa
The Bahamas,3.4,1.2,5.8,4.7,2.5,0.33,North America
Cyprus,3.2,1.1,5.3,5,1.9,0.66,Europe
Tunisia,3.2,1.8,4.6,2.5,3.9,-0.18,Africa
Myanmar,3,1.1,5.1,4.7,5.1,-0.42,Asia
Panama,2.9,1,4.8,4.9,5.9,-0.52,North America
Lebanon,2.8,1.7,3.9,2.3,3,-0.08,Asia
Maldives,2.8,0.9,4.1,4.8,5.3,-0.48,Asia
Peru,2.7,1.4,4.1,3,3.4,-0.2,South America
Armenia,2.7,1,4.9,4.8,3.3,-0.19,Asia
Kuwait,2.7,0.7,3.8,5.2,3.1,-0.14,Asia
Algeria,2.6,1.9,3.3,1.7,4.7,-0.44,Africa
Honduras,2.6,1,4.4,4.5,3,-0.14,North America
Indonesia,2.6,1.2,4,3.5,3.8,-0.33,Asia
Brunei,2.5,0.8,4.2,5.4,1.7,0.48,Asia
Philippines,2.5,1.3,3.9,2.9,2.3,0.12,Asia
Turkey,2.3,1.2,3.6,3,4.2,-0.44,Asia
Jamaica,2.3,1,3.6,3.6,2.1,0.11,North America
São Tomé and Príncipe,2.2,1.2,3.3,2.9,2.2,-0.02,Africa
Syria,2.1,0.8,3.5,4.7,2,0.05,Asia
Venezuela,2.1,0.7,3.7,5.3,6.4,-0.67,South America
Jordan,2,0.9,3,3.3,3.5,-0.43,Asia
Saint Vincent and the Grenadines,1,0.7,1.3,2,6.5,-0.84,North America
Grenada,0.6,0.7,0.5,0.7,2.1,-0.7,North America
Antigua and Barbuda,0.3,0.6,0,0,2,-0.84,North America
Barbados,0.3,0.2,0.5,3.1,2.6,-0.88,North America
